state1,state2,k,var
IFH,IF0,7796.654355,1
IF0,IFH,22394400000,1
IF0,IFNA,37813.60698,1
IFNA,IF0,1000,1
IFNA,OFNA,5000,1
OFNA,IFNA,8266.095402,1
OFNA,OF0,1000,1
OF0,OFNA,19152.03159,1
OF0,OFH,22394400000,1
OFH,OF0,5633.074759,1
OFH,IFH,5000,1
IFH,OFH,8264.632905,1
