state1,state2,k,var
ifh,if0,700,500.00
if0,ifh,17.30646853,10.00
if0,ifn,230,100.00
ifn,if0,11.45102572,50.00
ifn,ofn,580,100.00
ofn,ifn,956.258337,300.00
ofn,of0,12,1.273
of0,ofn,19.78465525,10.00
of0,ofh,30,5.00
ofh,of0,735.9759059,100.00
ofh,ifh,600,100.00
ifh,ofh,989.2327624,300.00
