state1,state2,k,var
IFH,IF0,7799.244606,500
IF0,IFH,224.0184,10
IF0,IFNA,1.26E+07,605017
IFNA,IF0,3.34E+06,160000
IFNA,OFNA,5000,500
OFNA,IFNA,8266.095402,600
OFNA,OF0,28557500,490000
OF0,OFNA,54693414.22,938449
OF0,OFH,224.0184,10
OFH,OF0,5634.946213,300
OFH,IFH,5000,400
IFH,OFH,8264.632905,600
