state1,state2,k,var
IFH,IF0,8000,160000
IF0,IFH,20000000000,6250000
IF0,IFNA,3200000000,9138982437887
IFNA,IF0,70000000,90250000000000
IFNA,OFNA,5000,10000
OFNA,IFNA,8000,10000
OFNA,OF0,170000000,100000000000000
OF0,OFNA,3200000000,9138982437887
OF0,OFH,20000000000,2250000
OFH,OF0,6000,10000
OFH,IFH,5000,10000
IFH,OFH,8000,10000
