state1,state2,value,variance,ligand,standard_state
s010,s110,7.722947703526558,1,h+,1
s010,s011,7.722947703526558,1,h+,1
s011,s111,5.498389292930354,1,h+,1
s110,s111,5.498389292930354,1,h+,1
s100,s101,9.445121263978644,1,h+,1
s001,s101,9.44512126397864,1,h+,1
s001,s011,8.379201696166865,1,h+,1
s100,s110,8.37920169616687,1,h+,1
s000,s100,9.5022204681361,1,h+,1
s000,s001,9.502220468136104,1,h+,1
s000,s010,10.15847446077641,1,h+,1
s101,s111,4.43246972511858,1,h+,1
