state1,state2,value,variance,ligand,standard_state
s010,s110,7.0003295109792605,1,h+,1
s010,s011,7.000329510979273,1,h+,1
s011,s111,7.028863348188016,1,h+,1
s110,s111,7.028863348188028,1,h+,1
s100,s101,7.037199127952467,1,h+,1
s001,s101,7.037199127952434,1,h+,1
s001,s011,6.984351152644797,1,h+,1
s100,s110,6.984351152644816,1,h+,1
s000,s100,7.019288482086639,1,h+,1
s000,s001,7.0192884820866706,1,h+,1
s000,s010,7.003310123752194,1,h+,1
s101,s111,6.976015372880378,1,h+,1
